// ----------------------------------------------------\\
//        Hospedagem feita por Rodrigo                 \\
// 						       \\
// File  Name : MuServer1.02nSeason2+ Viciados         \\
// ViciadosMU: wWw.ViciadosMu.com.br                   \\
// Creditos: shop@viciadosmu.com.br | skype viciadosmu \\
// Disponibilizamos para ajudar a todos                \\
// Compre produtos ou jogue em nossos servidores       \\
// Shop ViciadosMu: wWw.Shop.ViciadosMu.com.br         \\
// --------------------------------------------------- \\
//==========================================================================
//Project: NaMEch
//Sources: NaM4 
//Re-Struct & Fixes: Echy-
//Information: Spots de Mobs
//=========================================================================

// 0 - Guardias / NPC / Trampas
// 1 - Spots
// 2 - Mobs normales
// 3 - Bone King / Dorados
// 4 - Blood Castle Mobs / Gates / Otros

//=========================================================================================
//======================================= Invasion Dorados =================================
//=========================================================================================
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
3
43	3	30	10	10	240	240	-1	2	// Golden Budge Dragon
44	0	30	182	128	195	145	-1	3	// Golden Dragon
53	0	30	185	132	185	132	-1	1	// Golden Titan
55	0	30	132	83	132	83	-1	1	// Death King
54	0	30	183	128	188	135	-1	3	// Golden Soldier
56	0	30	132	83	138	90	-1	5	// Death Bone
78	0	30	10	10	240	240	-1	4	// Golden Goblin
79	0	30	10	10	240	240	-1	3	// Golden Dragon
80	0	30	185	132	185	132	-1	3	// Golden Lizard King
81	0	30	132	83	132	83	-1	5	// Golden Vepar
82	0	30	183	128	188	135	-1	2	// Golden Tantallos
83	0	30	132	83	138	90	-1	8	// Golden Iron Wheel
end

//=========================================================================================						
//================================= Lorencia NPCs - ======================================						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
247	0	0	146	129	2	// NPC Reset Guard
249	6	0	60	117	1	// Crossbow Guard
249	6	0	66	117	1	// Crossbow Guard
249	6	0	102	114	7	// Crossbow Guard
249	6	0	102	116	7	// Crossbow Guard
249	6	0	102	118	7	// Crossbow Guard
end						

//=========================================================================================						
//================================= Kalima - NPCs - ======================================						
//=========================================================================================						
//Kalima 1						
//Mob	Map	Rad	X	Y	Str	Name
0						
259	24	0	19	31	1	// Kalnac
end						

//Kalima 2						
//Mob	Map	Rad	X	Y	Str	Name
0						
259	25	0	19	31	1	// Kalnac
end						

//Kalima 3						
//Mob	Map	Rad	X	Y	Str	Name
0						
259	26	0	19	31	1	// Kalnac
end						

//Kalima 4						
//Mob	Map	Rad	X	Y	Str	Name
0						
259	27	0	19	31	1	// Kalnac
end						

//Kalima 5						
//Mob	Map	Rad	X	Y	Str	Name
0						
259	28	0	19	31	1	// Kalnac
end						

//Kalima 6						
//Mob	Map	Rad	X	Y	Str	Name
0						
259	29	0	19	31	1	// Kalnac
end						

//Kalima 7						
//Mob	Map	Rad	X	Y	Str	Name
0						
259	36	0	19	31	1	// Kalnac
end						

//=========================================================================================						
//================================= Aida - NPCs - ========================================						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
369	33	0	80	14	3	// Osborne
370	33	0	86	13	2	// Jeridon
end						

//=========================================================================================						
//============================= Kantru - NPCs - ==========================================						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
367	38	0	141	191	2	// Equipment
368   	39      0       77      177 	2       // Elpis
end

//=========================================================================================
//================================= Mobs - ==========================================
//=========================================================================================

//=========================================================================================									
//================================= Lorencia Mobs - ==================================									
//=========================================================================================									
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
1									
0    	0  	10  	183 	158   	189  	157  	-1  	20	//Bull Fighter
1    	0  	10    	94  	118    	84  	134  	-1 	20	//Hound
2    	0  	5  	184  	127     184	127   	-1 	35	//Budge Dragon
2    	0  	30  	10  	12    	93  	243   	-1 	35	//Budge Dragon
2    	0  	30  	10  	12    	93  	243   	-1 	35	//Budge Dragon
3    	0  	30  	10	12	93	243  	-1 	35	//Spider
3    	0  	30  	10	12	93	243  	-1 	35	//Spider
4    	0  	30    	8  	11    	94  	244  	-1 	35	//Elite Bull Fighter
4    	0  	0   	136  	67    	146   	65  	-1 	15	//Elite Bull Fighter
6    	0  	0   	127 	171  	140  	172 	-1 	15	//Lich
7    	0  	30    	8  	11    	60   	80  	-1 	30	//Giant
14   	0  	10   	139 	80   	150  	84  	-1 	10 	//Skeleton Warrior
14   	0  	20  	150  	19   	240   	41  	-1 	10	//Skeleton Warrior
16	0	10	135	211	142	225	-1	15	//Elite Skeleton
15	0	10	135	211	142	225	-1	15	//Skeleton Archer
end

//=========================================================================================							
//================================= Dungeon Mobs - ===================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	Strong	Name	
2							
5	1	30	170	126	-1	//Hell Hound
5	1	30	163	114	-1	//Hell Hound
5	1	30	163	125	-1	//Hell Hound
5	1	30	145	118	-1	//Hell Hound
5	1	30	123	120	-1	//Hell Hound
5	1	30	138	86	-1	//Hell Hound
5	1	30	120	75	-1	//Hell Hound
5	1	30	81	58	-1	//Hell Hound
5	1	30	71	53	-1	//Hell Hound
5	1	30	69	88	-1	//Hell Hound
5	1	30	98	111	-1	//Hell Hound
5	1	30	87	114	-1	//Hell Hound
5	1	30	65	127	-1	//Hell Hound
5	1	30	70	76	-1	//Hell Hound
8	1	30	205	24	-1	//Poison Bull	
8	1	30	39	112	-1	//Poison Bull	
8	1	30	26	111	-1	//Poison Bull	
8	1	30	15	113	-1	//Poison Bull	
8	1	30	12	97	-1	//Poison Bull	
8	1	30	44	56	-1	//Poison Bull	
8	1	30	25	100	-1	//Poison Bull	
8	1	30	187	15	-1	//Poison Bull	
8	1	30	158	17	-1	//Poison Bull	
8	1	30	21	82	-1	//Poison Bull	
8	1	30	42	122	-1	//Poison Bull	
8	1	30	4	73	-1	//Poison Bull	
8	1	30	12	56	-1	//Poison Bull	
8	1	30	2	78	-1	//Poison Bull	
8	1	30	119	47	-1	//Poison Bull	
8	1	30	16	55	-1	//Poison Bull	
8	1	30	35	55	-1	//Poison Bull	
8	1	30	116	47	-1	//Poison Bull	
8	1	30	122	46	-1	//Poison Bull	
8	1	30	193	30	-1	//Poison Bull	
9	1	30	28	18	-1	//Thunder Lich
9	1	30	22	4	-1	//Thunder Lich
9	1	30	18	29	-1	//Thunder Lich
9	1	30	18	23	-1	//Thunder Lich
9	1	30	34	4	-1	//Thunder Lich
9	1	30	22	90	-1	//Thunder Lich
9	1	30	33	78	-1	//Thunder Lich
9	1	30	42	117	-1	//Thunder Lich
9	1	30	118	11	-1	//Thunder Lich
9	1	30	38	23	-1	//Thunder Lich
9	1	30	160	10	-1	//Thunder Lich
9	1	30	194	18	-1	//Thunder Lich
9	1	30	213	12	-1	//Thunder Lich
9	1	30	221	14	-1	//Thunder Lich
9	1	30	243	16	-1	//Thunder Lich
9	1	30	233	66	-1	//Thunder Lich
9	1	30	30	105	-1	//Thunder Lich
9	1	30	27	53	-1	//Thunder Lich
9	1	30	10	68	-1	//Thunder Lich
9	1	30	33	90	-1	//Thunder Lich
9	1	30	12	121	-1	//Thunder Lich			
10	1	30	41	88	-1	//Dark Knight
10	1	30	19	120	-1	//Dark Knight
10	1	30	37	98	-1	//Dark Knight
10	1	30	14	107	-1	//Dark Knight
10	1	30	22	65	-1	//Dark Knight
10	1	30	39	77	-1	//Dark Knight
10	1	30	29	66	-1	//Dark Knight
11	1	30	69	167	-1	//Ghost
11	1	30	136	149	-1	//Ghost
11	1	30	133	212	-1	//Ghost
11	1	30	135	212	-1	//Ghost
11	1	30	151	212	-1	//Ghost
11	1	30	168	220	-1	//Ghost
11	1	30	46	146	-1	//Ghost
11	1	30	49	182	-1	//Ghost
11	1	30	44	162	-1	//Ghost
11	1	30	45	180	-1	//Ghost
11	1	30	45	183	-1	//Ghost
11	1	30	164	232	-1	//Ghost
11	1	30	92	157	-1	//Ghost
11	1	30	102	174	-1	//Ghost
11	1	30	113	166	-1	//Ghost
11	1	30	222	223	-1	//Ghost
11	1	30	163	184	-1	//Ghost
11	1	30	164	186	-1	//Ghost
11	1	30	150	193	-1	//Ghost
11	1	30	142	218	-1	//Ghost
11	1	30	199	116	-1	//Ghost
11	1	30	240	247	-1	//Ghost
11	1	30	242	247	-1	//Ghost
11	1	30	241	226	-1	//Ghost
11	1	30	246	220	-1	//Ghost
11	1	30	243	201	-1	//Ghost
11	1	30	244	192	-1	//Ghost
11	1	30	213	248	-1	//Ghost
11	1	30	148	149	-1	//Ghost
11	1	30	247	7	-1	//Ghost
11	1	30	240	7	-1	//Ghost
11	1	30	241	9	-1	//Ghost
11	1	30	227	248	-1	//Ghost
11	1	30	181	246	-1	//Ghost
11	1	30	86	150	-1	//Ghost
11	1	30	98	145	-1	//Ghost
11	1	30	45	188	-1	//Ghost
11	1	30	53	188	-1	//Ghost
11	1	30	52	166	-1	//Ghost
11	1	30	62	154	-1	//Ghost
11	1	30	70	154	-1	//Ghost
11	1	30	77	152	-1	//Ghost
11	1	30	110	145	-1	//Ghost
11	1	30	119	146	-1	//Ghost
11	1	30	120	159	-1	//Ghost
11	1	30	111	188	-1	//Ghost
11	1	30	125	195	-1	//Ghost
11	1	30	135	196	-1	//Ghost
11	1	30	144	187	-1	//Ghost
11	1	30	125	218	-1	//Ghost
11	1	30	197	245	-1	//Ghost
11	1	30	247	211	-1	//Ghost
11	1	30	231	186	-1	//Ghost
11	1	30	223	187	-1	//Ghost
11	1	30	213	186	-1	//Ghost
11	1	30	209	175	-1	//Ghost
11	1	30	183	128	-1	//Ghost
12	1	30	73	241	-1	//Larva
12	1	30	193	224	-1	//Larva
12	1	30	194	222	-1	//Larva
12	1	30	194	221	-1	//Larva
12	1	30	79	154	-1	//Larva
12	1	30	78	189	-1	//Larva
12	1	30	100	198	-1	//Larva
12	1	30	95	192	-1	//Larva
12	1	30	90	187	-1	//Larva
12	1	30	137	241	-1	//Larva
12	1	30	130	244	-1	//Larva
12	1	30	86	196	-1	//Larva
12	1	30	46	210	-1	//Larva
12	1	30	61	213	-1	//Larva
12	1	30	69	222	-1	//Larva
12	1	30	57	247	-1	//Larva
12	1	30	49	246	-1	//Larva
12	1	30	87	177	-1	//Larva
12	1	30	70	195	-1	//Larva
12	1	30	65	205	-1	//Larva
12	1	30	134	240	-1	//Larva
13	1	30	112	93	-1	//Hell Spider
13	1	30	104	65	-1	//Hell Spider
13	1	30	183	27	-1	//Hell Spider
13	1	30	114	20	-1	//Hell Spider
13	1	30	247	87	-1	//Hell Spider
13	1	30	149	94	-1	//Hell Spider
13	1	30	126	94	-1	//Hell Spider
13	1	30	168	96	-1	//Hell Spider
13	1	30	196	100	-1	//Hell Spider
14	1	30	120	232	-1	//Skeleton Warrior	
14	1	30	107	230	-1	//Skeleton Warrior	
14	1	30	84	244	-1	//Skeleton Warrior	
14	1	30	94	242	-1	//Skeleton Warrior	
14	1	30	108	195	-1	//Skeleton Warrior	
14	1	30	94	208	-1	//Skeleton Warrior	
14	1	30	62	181	-1	//Skeleton Warrior	
14	1	30	33	209	-1	//Skeleton Warrior	
14	1	30	31	247	-1	//Skeleton Warrior	
14	1	30	3	246	-1	//Skeleton Warrior	
14	1	30	29	246	-1	//Skeleton Warrior	
14	1	30	83	198	-1	//Skeleton Warrior	
14	1	30	45	201	-1	//Skeleton Warrior	
14	1	30	120	243	-1	//Skeleton Warrior	
14	1	30	99	49	-1	//Skeleton Warrior	
14	1	30	152	247	-1	//Skeleton Warrior	
14	1	30	156	247	-1	//Skeleton Warrior	
14	1	30	97	187	-1	//Skeleton Warrior	
14	1	30	105	208	-1	//Skeleton Warrior	
14	1	30	85	208	-1	//Skeleton Warrior	
14	1	30	84	220	-1	//Skeleton Warrior	
14	1	30	85	229	-1	//Skeleton Warrior	
14	1	30	68	227	-1	//Skeleton Warrior	
14	1	30	61	238	-1	//Skeleton Warrior	
14	1	30	73	245	-1	//Skeleton Warrior	
14	1	30	3	232	-1	//Skeleton Warrior	
14	1	30	3	219	-1	//Skeleton Warrior	
14	1	30	7	219	-1	//Skeleton Warrior	
14	1	30	17	211	-1	//Skeleton Warrior	
15	1	30	61	169	-1	//Skeleton Archer
15	1	30	217	229	-1	//Skeleton Archer
15	1	30	141	110	-1	//Skeleton Archer
15	1	30	98	54	-1	//Skeleton Archer
15	1	30	114	110	-1	//Skeleton Archer
15	1	30	68	110	-1	//Skeleton Archer
15	1	30	76	111	-1	//Skeleton Archer
15	1	30	156	125	-1	//Skeleton Archer
15	1	30	193	148	-1	//Skeleton Archer
15	1	30	188	145	-1	//Skeleton Archer
15	1	30	206	152	-1	//Skeleton Archer
15	1	30	212	151	-1	//Skeleton Archer
15	1	30	247	176	-1	//Skeleton Archer
15	1	30	175	127	-1	//Skeleton Archer
15	1	30	175	118	-1	//Skeleton Archer
15	1	30	183	123	-1	//Skeleton Archer
15	1	30	68	125	-1	//Skeleton Archer
15	1	30	80	97	-1	//Skeleton Archer
16	1	30	108	9	-1	//Elite Skeleton	
16	1	30	159	41	-1	//Elite Skeleton	
16	1	30	115	8	-1	//Elite Skeleton	
16	1	30	124	20	-1	//Elite Skeleton	
16	1	30	90	6	-1	//Elite Skeleton	
16	1	30	212	83	-1	//Elite Skeleton	
16	1	30	211	90	-1	//Elite Skeleton	
16	1	30	226	58	-1	//Elite Skeleton	
16	1	30	239	56	-1	//Elite Skeleton	
16	1	30	235	23	-1	//Elite Skeleton	
16	1	30	29	80	-1	//Elite Skeleton	
16	1	30	86	105	-1	//Elite Skeleton	
16	1	30	88	104	-1	//Elite Skeleton	
16	1	30	240	77	-1	//Elite Skeleton	
16	1	30	247	77	-1	//Elite Skeleton	
16	1	30	248	20	-1	//Elite Skeleton	
16	1	30	244	9	-1	//Elite Skeleton	
16	1	30	229	11	-1	//Elite Skeleton	
16	1	30	155	32	-1	//Elite Skeleton	
16	1	30	137	33	-1	//Elite Skeleton	
16	1	30	122	29	-1	//Elite Skeleton	
16	1	30	48	11	-1	//Elite Skeleton	
17	1	30	18	220	-1	//Cyclops
17	1	30	230	173	-1	//Cyclops
17	1	30	236	167	-1	//Cyclops
17	1	30	241	173	-1	//Cyclops
17	1	30	173	200	-1	//Cyclops
17	1	30	165	171	-1	//Cyclops
17	1	30	208	162	-1	//Cyclops
17	1	30	220	161	-1	//Cyclops
17	1	30	176	188	-1	//Cyclops
17	1	30	168	150	-1	//Cyclops
17	1	30	156	171	-1	//Cyclops
17	1	30	176	161	-1	//Cyclops
17	1	30	185	161	-1	//Cyclops
17	1	30	181	171	-1	//Cyclops
17	1	30	198	168	-1	//Cyclops
17	1	30	190	172	-1	//Cyclops
17	1	30	128	232	-1	//Cyclops
17	1	30	13	235	-1	//Cyclops
17	1	30	27	236	-1	//Cyclops
17	1	30	143	232	-1	//Cyclops
17	1	30	50	211	-1	//Cyclops
17	1	30	220	172	-1	//Cyclops
17	1	30	247	168	-1	//Cyclops
17	1	30	52	222	-1	//Cyclops
17	1	30	50	235	-1	//Cyclops
17	1	30	38	234	-1	//Cyclops
17	1	30	16	227	-1	//Cyclops
17	1	30	25	220	-1	//Cyclops
17	1	30	235	108	-1	//Cyclops
17	1	30	228	105	-1	//Cyclops
17	1	30	214	116	-1	//Cyclops
18	1	30	43	111	-1	//Gorgon			
18	1	30	8	123	-1	//Gorgon			
18	1	30	7	56	-1	//Gorgon			
18	1	30	26	67	-1	//Gorgon			
end

//=========================================================================================										
//================================= Devias Mobs - ====================================										
//=========================================================================================										
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir	Quant	Name	
1										
19	2	30	50	6	166	244	-1	35	//Yeti
19	2	10	205	113	230	123	-1	25	//Yeti
20	2	0	237	235	242	235	-1	15	//Elite Yeti
20	2	30	212	210	241	219	-1	30	//Elite Yeti
21	2	30	40	9	32	42	-1	30	//Assassin
21	2	0	16	8	16	15	-1	20	//Assassin
22	2	30	50	6	166	244	-1	35	//Ice Monster
23	2	30	190	144	225	167	-1	45	//Hommerd
23	2	30	50	6	166	244	-1	30	//Hommerd
24	2	30	210	80	235	85	-1	20	//Worm
end


//=========================================================================================							
//================================= Noria Mobs - ====================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir	Quant	Name	
1										
26	3	30	151	110	156	123	-1	15	//Goblin
27	3	30	151	110	156	123	-1	10	//Chain Scorpion
28	3	30	0	0	128	128	-1	80	//Beetle Monster
29	3	30	0	0	128	128	-1	50	//Hunter
30	3	30	0	128	251	245	-1	50	//Forest Monster
31	3	30	0	128	251	245	-1	50	//Agon
32	3	30	128	128	251	245	-1	50	//Stone Golem
33	3	30	0	128	128	245	-1	50	//Elite Goblin
32	3	30	167	72	159	86	-1	15	//Stone Golem
end

//=========================================================================================							
//================================= LostTower Mobs - ==========================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	Strong	Name	
2							
34	4	30	167	197	-1	//Cursed Wizard
34	4	30	192	203	-1	//Cursed Wizard
34	4	30	191	244	-1	//Cursed Wizard
34	4	30	235	237	-1	//Cursed Wizard
34	4	30	224	235	-1	//Cursed Wizard
34	4	30	206	237	-1	//Cursed Wizard
34	4	30	200	228	-1	//Cursed Wizard
34	4	30	209	212	-1	//Cursed Wizard
34	4	30	225	196	-1	//Cursed Wizard
34	4	30	209	190	-1	//Cursed Wizard
34	4	30	198	192	-1	//Cursed Wizard
34	4	30	187	184	-1	//Cursed Wizard
34	4	30	193	173	-1	//Cursed Wizard
34	4	30	172	177	-1	//Cursed Wizard
34	4	30	133	185	-1	//Cursed Wizard
34	4	30	132	201	-1	//Cursed Wizard
34	4	30	134	166	-1	//Cursed Wizard
34	4	30	95	173	-1	//Cursed Wizard
34	4	30	86	190	-1	//Cursed Wizard
34	4	30	84	237	-1	//Cursed Wizard
34	4	30	98	245	-1	//Cursed Wizard
34	4	30	111	219	-1	//Cursed Wizard
34	4	30	123	224	-1	//Cursed Wizard
34	4	30	123	201	-1	//Cursed Wizard
34	4	30	115	167	-1	//Cursed Wizard
34	4	30	105	175	-1	//Cursed Wizard
34	4	30	215	174	-1	//Cursed Wizard
34	4	30	245	168	-1	//Cursed Wizard
34	4	30	235	214	-1	//Cursed Wizard
34	4	30	165	223	-1	//Cursed Wizard
34	4	30	127	239	-1	//Cursed Wizard
34	4	30	125	180	-1	//Cursed Wizard
34	4	30	113	189	-1	//Cursed Wizard
34	4	30	98	231	-1	//Cursed Wizard
34	4	30	112	235	-1	//Cursed Wizard
34	4	30	83	220	-1	//Cursed Wizard
34	4	30	90	239	-1	//Cursed Wizard
34	4	30	133	215	-1	//Cursed Wizard
34	4	30	88	206	-1	//Cursed Wizard
34	4	30	121	235	-1	//Cursed Wizard
34	4	30	104	232	-1	//Cursed Wizard
34	4	30	102	217	-1	//Cursed Wizard
34	4	30	103	205	-1	//Cursed Wizard
34	4	30	101	188	-1	//Cursed Wizard
34	4	30	110	206	-1	//Cursed Wizard
34	4	30	96	167	-1	//Cursed Wizard
34	4	30	238	213	-1	//Cursed Wizard			
34	4	30	210	225	-1	//Cursed Wizard			
34	4	30	215	236	-1	//Cursed Wizard			
35	4	30	29	208	-1	//Death Gorgon
35	4	30	33	206	-1	//Death Gorgon
35	4	30	46	25	-1	//Death Gorgon
35	4	30	23	40	-1	//Death Gorgon
35	4	30	42	97	-1	//Death Gorgon
35	4	30	15	127	-1	//Death Gorgon
35	4	30	30	171	-1	//Death Gorgon
35	4	30	8	191	-1	//Death Gorgon
35	4	30	8	211	-1	//Death Gorgon
35	4	30	8	231	-1	//Death Gorgon
35	4	30	15	244	-1	//Death Gorgon
35	4	30	18	107	-1	//Death Gorgon
35	4	30	39	246	-1	//Death Gorgon
35	4	30	11	175	-1	//Death Gorgon
35	4	30	54	220	-1	//Death Gorgon
35	4	30	31	127	-1	//Death Gorgon
35	4	30	55	174	-1	//Death Gorgon
35	4	30	55	195	-1	//Death Gorgon
35	4	30	30	233	-1	//Death Gorgon
35	4	30	21	216	-1	//Death Gorgon
35	4	30	38	212	-1	//Death Gorgon
35	4	30	29	200	-1	//Death Gorgon
35	4	30	38	234	-1	//Death Gorgon
35	4	30	34	108	-1	//Death Gorgon
35	4	30	53	111	-1	//Death Gorgon
35	4	30	45	137	-1	//Death Gorgon
35	4	30	11	96	-1	//Death Gorgon
35	4	30	43	170	-1	//Death Gorgon
35	4	30	8	220	-1	//Death Gorgon
35	4	30	27	247	-1	//Death Gorgon
35	4	30	54	232	-1	//Death Gorgon
35	4	30	24	225	-1	//Death Gorgon
35	4	30	14	15	-1	//Death Gorgon
35	4	30	13	33	-1	//Death Gorgon
35	4	30	30	39	-1	//Death Gorgon
35	4	30	55	8	-1	//Death Gorgon
35	4	30	44	41	-1	//Death Gorgon
35	4	30	8	25	-1	//Death Gorgon
35	4	30	37	21	-1	//Death Gorgon
35	4	30	29	24	-1	//Death Gorgon
35	4	30	19	97	-1	//Death Gorgon
35	4	30	42	109	-1	//Death Gorgon
35	4	30	22	121	-1	//Death Gorgon
35	4	30	5	122	-1	//Death Gorgon
35	4	30	5	132	-1	//Death Gorgon
35	4	30	14	137	-1	//Death Gorgon
35	4	30	38	184	-1	//Death Gorgon
35	4	30	36	174	-1	//Death Gorgon
35	4	30	23	174	-1	//Death Gorgon
35	4	30	18	168	-1	//Death Gorgon
35	4	30	7	184	-1	//Death Gorgon
35	4	30	8	200	-1	//Death Gorgon
35	4	30	19	208	-1	//Death Gorgon
35	4	30	50	241	-1	//Death Gorgon
35	4	30	54	205	-1	//Death Gorgon
35	4	30	23	195	-1	//Death Gorgon
35	4	30	31	191	-1	//Death Gorgon
35	4	30	25	167	-1	//Death Gorgon
35	4	30	34	137	-1	//Death Gorgon
35	4	30	54	121	-1	//Death Gorgon
35	4	30	30	10	-1	//Death Gorgon
36	4	30	193	239	-1	//Shadow
36	4	30	191	131	-1	//Shadow
36	4	30	191	118	-1	//Shadow
36	4	30	164	29	-1	//Shadow
36	4	30	164	37	-1	//Shadow
36	4	30	164	48	-1	//Shadow
36	4	30	164	63	-1	//Shadow
36	4	30	164	74	-1	//Shadow
36	4	30	164	98	-1	//Shadow
36	4	30	164	112	-1	//Shadow
36	4	30	164	126	-1	//Shadow
36	4	30	175	127	-1	//Shadow
36	4	30	184	128	-1	//Shadow
36	4	30	199	134	-1	//Shadow
36	4	30	206	136	-1	//Shadow
36	4	30	227	136	-1	//Shadow
36	4	30	242	135	-1	//Shadow
36	4	30	217	127	-1	//Shadow
36	4	30	244	89	-1	//Shadow
36	4	30	207	127	-1	//Shadow
36	4	30	229	127	-1	//Shadow
36	4	30	235	56	-1	//Shadow
36	4	30	235	38	-1	//Shadow
36	4	30	236	26	-1	//Shadow
36	4	30	235	15	-1	//Shadow
36	4	30	226	14	-1	//Shadow
36	4	30	211	15	-1	//Shadow
36	4	30	210	101	-1	//Shadow
36	4	30	210	114	-1	//Shadow
36	4	30	244	8	-1	//Shadow
36	4	30	195	99	-1	//Shadow
36	4	30	226	118	-1	//Shadow
36	4	30	235	110	-1	//Shadow
36	4	30	235	87	-1	//Shadow
36	4	30	199	124	-1	//Shadow
36	4	30	193	108	-1	//Shadow
36	4	30	209	94	-1	//Shadow
36	4	30	235	73	-1	//Shadow
36	4	30	196	89	-1	//Shadow
36	4	30	219	94	-1	//Shadow
36	4	30	190	29	-1	//Shadow
36	4	30	204	88	-1	//Shadow
36	4	30	204	88	-1	//Shadow
36	4	30	204	89	-1	//Shadow
36	4	30	204	94	-1	//Shadow
36	4	30	204	90	-1	//Shadow
36	4	30	204	90	-1	//Shadow
